X,Y,objectid,lea_school,ptmoved,comments,reviewed,school_nam,principal,street_lon,phys_addr,phys_city,phys_zip,phone,mail_addr,mail_city,mail_zip,fax,url_addres,county,accr_stat,sch_desg,sch_type,sch_ptype,sch_ctype,ext_hours,num_teach,bgn_grade,end_grade,pre_k,elem,middle,high,early_coll,Facility Name,Street Address,City Name,County_2,State,ZIP Code,Latitude,Longitude,Submissions,Toxic Release Inventory Report Link,Toxic Release Inventory - Form R Report Link,Risk-Screening Environmental Indicators Report Link
517079.468699999,243093.218600001,"1081","410499", , , ,Oak Hill Elementary,Ashton Clemmons,320 Wrightenberry St,320 Wrightenberry St,High Point,"27260","3368192925",320 Wrightenberry St,High Point,"27260","3368192931",http://schools.gcsnc.com/spages/oakhill/home.htm,Guilford,SA,Public,Regular School,None,Modified,"-","27",PK,"05",yes,yes, , ,,ALMA DESK CO FURNITURE DIV,1301 LINCOLN DR,HIGH POINT,GUILFORD,NC,"27261",35.93648,-80.01938,"13",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27261LMDSKPOBOX,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27261LMDSKPOBOX,https://enviro.epa.gov/enviro/rsei.html?facid=27261LMDSKPOBOX
518791.187399998,244322.703200001,"1046","410364", , , ,Fairview Elementary,Rhonda Copeland,608 Fairview St,608 Fairview St,High Point,"27260","3368192890",608 Fairview St,High Point,"27260","3368192892",http://schools.gcsnc.com/spages/fairview/index.htm,Guilford,SA,Public,Regular School,None,Traditional,"-","30",PK,"05",yes,yes, , ,,ALMA DESK CO PLANT 1,710 W GREEN DR,HIGH POINT,GUILFORD,NC,"27261",35.95011,-80.01391,"6",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27261LMDSK710WE,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27261LMDSK710WE,https://enviro.epa.gov/enviro/rsei.html?facid=27261LMDSK710WE
517981.875200003,245401.8748,"1047","410367", , , ,Ferndale Middle,Angela Jackson,701 Ferndale Blvd,701 Ferndale Blvd,High Point,"27262","3368192855",701 Ferndale Blvd,High Point,"27262","3368852854",http://schools.gcsnc.com/spages/ferndale/home.html,Guilford,SA,Public,Regular School,Magnet,Traditional,"-","54","06","08", , ,yes, ,,ALMA DESK CO PLANT 1,710 W GREEN DR,HIGH POINT,GUILFORD,NC,"27261",35.95011,-80.01391,"6",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27261LMDSK710WE,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27261LMDSK710WE,https://enviro.epa.gov/enviro/rsei.html?facid=27261LMDSK710WE
517624.781199999,245410.453200001,"1057","410406", , , ,High Point Central High,Robert Christina,801 Ferndale Blvd,801 Ferndale Blvd,High Point,"27262","3368192825",801 Ferndale Blvd,High Point,"27262","3368192991",http://schools.gcsnc.com/spages/hpc/index.html,Guilford,SA,Public,Regular School,Magnet,Modified,"-","88","09","12", , , ,yes,,ALMA DESK CO PLANT 1,710 W GREEN DR,HIGH POINT,GUILFORD,NC,"27261",35.95011,-80.01391,"6",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27261LMDSK710WE,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27261LMDSK710WE,https://enviro.epa.gov/enviro/rsei.html?facid=27261LMDSK710WE
518560.156199999,244514.2029,"2208","410534", , , ,Dean B Pruett SCALE Academy,Kenneth Wheat,116 Pisgah Church Rd,900 English Road,High Point,"27262","3368785380",900 English Road,Greensboro,"27405","3368897625",http://schoolcenter.gcsnc.com/education/school/sc,Guilford, ,Public,Alternative Education,None,Traditional,"-","6","06","12", , ,yes,yes,,ALMA DESK CO PLANT 1,710 W GREEN DR,HIGH POINT,GUILFORD,NC,"27261",35.95011,-80.01391,"6",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27261LMDSK710WE,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27261LMDSK710WE,https://enviro.epa.gov/enviro/rsei.html?facid=27261LMDSK710WE
603114,238517.780999999,"410","681316", , , ,Frank Porter Graham Elem,Rita Bongarten,101 Smith Level Road,101 Smith Level Rd,Chapel Hill,"27516","9199426491",101 Smith Level Rd,Chapel Hill,"27516","9199425405",http://www.chccs.k12.nc.us/fpg/,Orange, ,Public,Regular School,None,Traditional,"-","29",PK,"05",yes,yes, , ,,ARGOS CHAPEL HILL CONCRETE PLANT,291 GUTHRIE AVE,CARRBORO,ORANGE,NC,"27510",35.908554,-79.067154,"6",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2751WRGSCH291GU,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2751WRGSCH291GU,https://enviro.epa.gov/enviro/rsei.html?facid=2751WRGSCH291GU
603419.433300003,238788.317899998,"2434","681338", , , ,Phoenix Academy High,LaVerne Mattocks,750 S Merritt Mill Rd,750 S Merritt Mill Rd,Chapel Hill,"27516","9199182300",750 S Merritt Mill Rd, ,"0","9199187099",http://www2.chccs.k12.nc.us/education/dept/dept.p,Orange, ,Public,Alternative Education,None,Traditional,"-","8","08","12", , , ,yes,,ARGOS CHAPEL HILL CONCRETE PLANT,291 GUTHRIE AVE,CARRBORO,ORANGE,NC,"27510",35.908554,-79.067154,"6",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2751WRGSCH291GU,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2751WRGSCH291GU,https://enviro.epa.gov/enviro/rsei.html?facid=2751WRGSCH291GU
646909.575099997,217251.5594,"2326","920403", ,point verified,"1",East Garner Elementary,Kimberly Burton,5545 Jones Sausage Road,5545 Jones Sausage Road,Garner,"27529","9197737411",5545 Jones Sausage Road,Garner,"27529","9197737415",http://eastgarneres.wcpss.net,Wake, ,Public,Regular School,None,Year Round,"-","41",KG,"05", ,yes, , ,,ARGOS GARNER CONCRETE PLANT,604 E GARNER RD,GARNER,WAKE,NC,"27529",35.70435,-78.59646,"8",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2752WRGSGR64EGA,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2752WRGSGR64EGA,https://enviro.epa.gov/enviro/rsei.html?facid=2752WRGSGR64EGA
518791.187399998,244322.703200001,"1046","410364", , , ,Fairview Elementary,Rhonda Copeland,608 Fairview St,608 Fairview St,High Point,"27260","3368192890",608 Fairview St,High Point,"27260","3368192892",http://schools.gcsnc.com/spages/fairview/index.htm,Guilford,SA,Public,Regular School,None,Traditional,"-","30",PK,"05",yes,yes, , ,,ARGOS HIGH POINT CONCRETE PLANT,406 TOMLINSON ST,HIGH POINT,GUILFORD,NC,"27260",35.95118,-80.00764,"5",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2726WRGSHG46TML,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2726WRGSHG46TML,https://enviro.epa.gov/enviro/rsei.html?facid=2726WRGSHG46TML
519064.406199999,244122.3123,"2205","410408", , , ,Middle College at GTCC  High Point,Charlos Smith,901 South Main Street,901 South Main Street,High Point,"27262","3368194111",901 South Main Street,High Point,"27262","3368194116",http://schoolcenter.gcsnc.com/education/school/sc,Guilford, ,Public,Regular School,Cooperative Innovative HS,Traditional,"-","11","09","13", , , ,yes,true,ARGOS HIGH POINT CONCRETE PLANT,406 TOMLINSON ST,HIGH POINT,GUILFORD,NC,"27260",35.95118,-80.00764,"5",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2726WRGSHG46TML,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2726WRGSHG46TML,https://enviro.epa.gov/enviro/rsei.html?facid=2726WRGSHG46TML
518560.156199999,244514.2029,"2208","410534", , , ,Dean B Pruett SCALE Academy,Kenneth Wheat,116 Pisgah Church Rd,900 English Road,High Point,"27262","3368785380",900 English Road,Greensboro,"27405","3368897625",http://schoolcenter.gcsnc.com/education/school/sc,Guilford, ,Public,Alternative Education,None,Traditional,"-","6","06","12", , ,yes,yes,,ARGOS HIGH POINT CONCRETE PLANT,406 TOMLINSON ST,HIGH POINT,GUILFORD,NC,"27260",35.95118,-80.00764,"5",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2726WRGSHG46TML,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2726WRGSHG46TML,https://enviro.epa.gov/enviro/rsei.html?facid=2726WRGSHG46TML
656111.466200002,227953.921799999,"2118","920480", ,point verified,"1",Lockhart Elementary,Judy Dudley (Interim),1320 N Smithfield Rd,1320 N Smithfield Rd,Knightdale,"27545","9192668525",1320 N Smithfield Rd,Knightdale,"27545","9192668537",http://lockhartes.wcpss.net/,Wake, ,Public,Regular School,None,Year Round,"-","42",KG,"05", ,yes, , ,,ARGOS KNIGHTDALE CONCRETE PLANT,6835 FORESTVILLE RD,KNIGHTDALE,WAKE,NC,"27545",35.80958,-78.48821,"8",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2754WRGSKN6835F,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2754WRGSKN6835F,https://enviro.epa.gov/enviro/rsei.html?facid=2754WRGSKN6835F
656428.7368,228710.8466,"2119","920413", ,point verified,"1",Forestville Road Elementary,Dianne Pridgen,7125 Forestville Road,100 Lawson Ridge Road,Knightdale,"27545","9192668487",100 Lawson Ridge Road,Knightdale,"27587","9192668494",http://forestvillees.wcpss.net/,Wake, ,Public,Regular School,None,Traditional,"-","41",KG,"05", ,yes, , ,,ARGOS KNIGHTDALE CONCRETE PLANT,6835 FORESTVILLE RD,KNIGHTDALE,WAKE,NC,"27545",35.80958,-78.48821,"8",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2754WRGSKN6835F,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2754WRGSKN6835F,https://enviro.epa.gov/enviro/rsei.html?facid=2754WRGSKN6835F
642772.499899998,228880.937399998,"1614","920456", ,point verified,"1",Joyner Elementary,Kathryn Hutchinson,2300 Noble Rd,2300 Lowden St.,Raleigh,"27608","9198567650",2300 Lowden St.,Raleigh,"27608","9198567661",http://joyneres.wcpss.net/,Wake, ,Public,Regular School,Magnet,Traditional,"-","47",KG,"05", ,yes, , ,,ARGOS PERSHING RD CONCRETE PLANT,714 PERSHING RD.,RALEIGH,WAKE,NC,"27608",35.8046,-78.62915,"10",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2760WRGSPR714PE,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2760WRGSPR714PE,https://enviro.epa.gov/enviro/rsei.html?facid=2760WRGSPR714PE
644509.812299997,173557.8281,"1116","430344", , , ,Harnett Primary,Sabrina Hendley,800 W Harnett St,800 W Harnett St,Dunn,"28334","9108920126",800 W Harnett St,Dunn,"28334","9108925561",http://www.harnett.k12.nc.us/Schools/Harnett/inde,Harnett, ,Public,Regular School,None,Traditional,"-","40",P0,"03", ,yes, , ,,ARGOS READY MIX DUNN CONCRETE PLANT,401 N FAYETTEVILLE AVE,DUNN,HARNETT,NC,"28334",35.31185,-78.60905,"4",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2833WRDYMX41NFA,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2833WRDYMX41NFA,https://enviro.epa.gov/enviro/rsei.html?facid=2833WRDYMX41NFA
644421.9375,173618.1721,"1117","430380", , , ,Wayne Avenue Elem,Charles Bradham,910 W Harnett St,910 W Harnett St,Dunn,"28334","9108921059",910 W Harnett St,Dunn,"28334","9108922257",http://www.harnett.k12.nc.us/Schools/Wayne/index.,Harnett, ,Public,Regular School,None,Traditional,"-","17","04","05", ,yes, , ,,ARGOS READY MIX DUNN CONCRETE PLANT,401 N FAYETTEVILLE AVE,DUNN,HARNETT,NC,"28334",35.31185,-78.60905,"4",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2833WRDYMX41NFA,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2833WRDYMX41NFA,https://enviro.epa.gov/enviro/rsei.html?facid=2833WRDYMX41NFA
619928.625100002,248609.906399999,"2153","320310", , , ,Eastway Elementary,Kendral Flowers,610 North Alston Avenue,610 North Alston Avenue,Durham,"27701","9195603910",610 North Alston Avenue,Durham,"27701","9195603421",http://www.eastway.dpsnc.net/,Durham, ,Public,Regular School,None,Traditional,"-","32",KG,"05", ,yes, , ,,ARGOS READY MIX PLUM ST CONCRETE PLANT,312 S PLUM ST,DURHAM,DURHAM,NC,"27703",35.9826,-78.88321,"7",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2770WPLMST312PL,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2770WPLMST312PL,https://enviro.epa.gov/enviro/rsei.html?facid=2770WPLMST312PL
619780.6875,247235.859499998,"2159","320308", , , ,Burton Elementary,Tekeisha Mitchell,1500 Mathison Avenue,1500 Mathison Avenue,Durham,"27701","9195603908",1500 Mathison Avenue,Durham,"27701","9195602087",http://www.burton.dpsnc.net/,Durham, ,Public,Regular School,Magnet,Modified,"-","26",KG,"05", ,yes, , ,,ARGOS READY MIX PLUM ST CONCRETE PLANT,312 S PLUM ST,DURHAM,DURHAM,NC,"27703",35.9826,-78.88321,"7",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2770WPLMST312PL,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2770WPLMST312PL,https://enviro.epa.gov/enviro/rsei.html?facid=2770WPLMST312PL
620381.187399998,246712.2656,"2198","320353", , , ,Middle College HS @ DTCC,Charles Nolan,1637 Lawson Street,1637 Lawson Street,Durham,"27703","9195367203",1637 Lawson Street,Durham,"27703","9195367294",http://mchs.dpsnc.net/,Durham, ,Public,Regular School,Early College,Traditional,"-","8","11","12", , , ,yes,,ARGOS READY MIX PLUM ST CONCRETE PLANT,312 S PLUM ST,DURHAM,DURHAM,NC,"27703",35.9826,-78.88321,"7",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2770WPLMST312PL,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2770WPLMST312PL,https://enviro.epa.gov/enviro/rsei.html?facid=2770WPLMST312PL
620509.645300001,248426.279300001,"2305","320322","yes, 2012",across town,"1",Durham's Performance Learning Center,Danny Gilfort,1058 West Club Blvd,401 North Driver Street,Durham,"27703","9195609190",401 North Driver Street,Durham,"27701","9195602214",http://www.dplc.dpsnc.net,Durham, ,Public,Alternative Education,None,Traditional,"-","10","08","12", , , ,yes,,ARGOS READY MIX PLUM ST CONCRETE PLANT,312 S PLUM ST,DURHAM,DURHAM,NC,"27703",35.9826,-78.88321,"7",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2770WPLMST312PL,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2770WPLMST312PL,https://enviro.epa.gov/enviro/rsei.html?facid=2770WPLMST312PL
620524.4881,248420.4333,"2460","320329", , , ,Holton Career and Resource Center,Danny Gilfort,401 North Driver St,401 North Driver St,Durham,"27703","9195602219",401 North Driver St, ,"0","1111111111",http://holtoncareer.dpsnc.net/,Durham, ,Public,Vocational Education,None,Traditional,"-","7",NG,NG, , , , ,,ARGOS READY MIX PLUM ST CONCRETE PLANT,312 S PLUM ST,DURHAM,DURHAM,NC,"27703",35.9826,-78.88321,"7",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2770WPLMST312PL,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2770WPLMST312PL,https://enviro.epa.gov/enviro/rsei.html?facid=2770WPLMST312PL
652167.75,244559.125500001,"1654","920592", ,point verified,"1",Wake ForestRolesville Mid,Stacey Weddle,1800 S Main St,1800 S Main St,Wake Forest,"27587","9195548440",1800 S Main St,Wake Forest,"27587","9195548435",http://wfrms.wcpss.net/,Wake, ,Public,Regular School,None,Traditional,"-","67","06","08", , ,yes, ,,ATHEY PRODUCTS CORP,1839 S MAIN ST,WAKE FOREST,WAKE,NC,"27587",35.95213,-78.52815,"6",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27587THYPRUSHIG,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27587THYPRUSHIG,https://enviro.epa.gov/enviro/rsei.html?facid=27587THYPRUSHIG
669556.9375,194721.781399999,"2039","510381", , , ,South Campus Community Middle,Kenneth Bennett,425 S Collier Street,425 S Collier Street,Smithfield,"27577","9199346481",PO Box 1336,Smithfield,"27577","9199383555",http://johnstoncounty.nc.schoolwebpages.com/educa,Johnston, ,Public,Alternative Education,None,Traditional,"-","13","06","08", , ,yes, ,,AUTOMATIC BLANKET,RTE HWY 95S WALPAT RD,SMITHFIELD,JOHNSTON,NC,"27577",35.50102,-78.330146,"6",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27577TMTCBRTE1H,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27577TMTCBRTE1H,https://enviro.epa.gov/enviro/rsei.html?facid=27577TMTCBRTE1H
669701.562600002,194448.796999998,"2282","510357", , , ,Johnston Co Middle College,Ray Stott,245 College Rd,245 College Rd,Smithfield,"27577","9194642303",PO Box 2350,Smithfield,"27577","9194642300",http://johnstoncounty.nc.schoolwebpages.com/educa,Johnston, ,Public,Regular School,Cooperative Innovative HS,Modified,"-","8","10","12", , , ,yes,,AUTOMATIC BLANKET,RTE HWY 95S WALPAT RD,SMITHFIELD,JOHNSTON,NC,"27577",35.50102,-78.330146,"6",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27577TMTCBRTE1H,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27577TMTCBRTE1H,https://enviro.epa.gov/enviro/rsei.html?facid=27577TMTCBRTE1H
670124.064099997,194712.6778,"2548","510367", , , ,Johnston Co Early College Academy,Brandon Garland,235 College Rd,235 College Rd,Smithfield,"27520","9194642314",235 College Rd,Smithfield,"27520","9194642300",http://johnstoncounty.nc.schoolwebpages.com/educa,Johnston, ,Public,Regular School,Early College,Modified,"-","8","09","12", , , ,yes,,AUTOMATIC BLANKET,RTE HWY 95S WALPAT RD,SMITHFIELD,JOHNSTON,NC,"27577",35.50102,-78.330146,"6",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27577TMTCBRTE1H,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27577TMTCBRTE1H,https://enviro.epa.gov/enviro/rsei.html?facid=27577TMTCBRTE1H
513465.312700003,236650.166299999,"907","292316", ,point verified,"1",Liberty Drive Elementary,Benjie Brown,401 Liberty Drive,401 Liberty Drive,Thomasville,"27360","3364744186",401 Liberty Drive,Thomasville,"27360","3364723723",http://www.tcs.k12.nc.us/ldes/,Davidson,SA,Public,Regular School,None,Traditional,"-","17","04","05", ,yes, , ,,"AUTOMOTIVE MOTORS OF THOMASVIL LE,INC.",113 SUNRISE CENTER DR,THOMASVILLE,DAVIDSON,NC,"27360",35.88122,-80.05736,"6",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27360TMTVM113SU,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27360TMTVM113SU,https://enviro.epa.gov/enviro/rsei.html?facid=27360TMTVM113SU
