"Facility Name","Street Address","City Name","County","State","ZIP Code","Latitude","Longitude","Submissions","Toxic Release Inventory Report Link","Toxic Release Inventory - Form R Report Link","Risk-Screening Environmental Indicators Report Link"
"ARGOS READY MIX CARY CONCRETE PLANT","331 REEDY CREEK RD","CARY","WAKE","NC","27513","35.79214","-78.76847","12","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2751WPLNTC331RE","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2751WPLNTC331RE","https://enviro.epa.gov/enviro/rsei.html?facid=2751WPLNTC331RE"
"ARGOS READY MIX DUNN CONCRETE PLANT","401 N FAYETTEVILLE AVE","DUNN","HARNETT","NC","28334","35.31185","-78.60905","4","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2833WRDYMX41NFA","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2833WRDYMX41NFA","https://enviro.epa.gov/enviro/rsei.html?facid=2833WRDYMX41NFA"
"ARGOS READY MIX HWY 55 CONCRETE PLANT","3411 APEX HWY.","DURHAM","DURHAM","NC","27713","35.9311","-78.88851","10","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2771WRGSRD3411A","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2771WRGSRD3411A","https://enviro.epa.gov/enviro/rsei.html?facid=2771WRGSRD3411A"
"ARGOS READY MIX PLUM ST CONCRETE PLANT","312 S PLUM ST","DURHAM","DURHAM","NC","27703","35.9826","-78.88321","7","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2770WPLMST312PL","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2770WPLMST312PL","https://enviro.epa.gov/enviro/rsei.html?facid=2770WPLMST312PL"
"ARGOS READY MIX SMITHFIELD CONCRETE PLANT","502 W. MARKET STREET","SMITHFIELD","JOHNSTON","NC","27577","35.517416","-78.35465","10","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2757WRGSRD52WMA","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2757WRGSRD52WMA","https://enviro.epa.gov/enviro/rsei.html?facid=2757WRGSRD52WMA"
"ARROW INTERNATIONAL INC","312 COMMERCE PL","ASHEBORO","RANDOLPH","NC","27203","35.77845","-79.81504","36","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27317RRWNT200CO","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27317RRWNT200CO","https://enviro.epa.gov/enviro/rsei.html?facid=27317RRWNT200CO"
"ASTEELFLASH USA CORP","6833 MT HERMAN RD","MORRISVILLE","WAKE","NC","27560","35.900466","-78.772023","5","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2756WSTLFL6833M","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2756WSTLFL6833M","https://enviro.epa.gov/enviro/rsei.html?facid=2756WSTLFL6833M"
"ATHEY PRODUCTS CORP","1839 S MAIN ST","WAKE FOREST","WAKE","NC","27587","35.95213","-78.52815","6","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27587THYPRUSHIG","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27587THYPRUSHIG","https://enviro.epa.gov/enviro/rsei.html?facid=27587THYPRUSHIG"
"AUTOMATIC BLANKET","RTE HWY 95S WALPAT RD","SMITHFIELD","JOHNSTON","NC","27577","35.50102","-78.330146","6","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27577TMTCBRTE1H","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27577TMTCBRTE1H","https://enviro.epa.gov/enviro/rsei.html?facid=27577TMTCBRTE1H"
"AUTOMOTIVE MOTORS OF THOMASVIL LE,INC.","113 SUNRISE CENTER DR","THOMASVILLE","DAVIDSON","NC","27360","35.88122","-80.05736","6","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27360TMTVM113SU","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27360TMTVM113SU","https://enviro.epa.gov/enviro/rsei.html?facid=27360TMTVM113SU"
"AVX CORP","3900 ELECTRONICS DR","RALEIGH","WAKE","NC","27604","35.83248","-78.60479","53","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27604VXCRP3900E","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27604VXCRP3900E","https://enviro.epa.gov/enviro/rsei.html?facid=27604VXCRP3900E"
"AXALTA COATING SYSTEMS USA LLC - HIGH POINT","1717 WEST ENGLISH RD","HIGH POINT","GUILFORD","NC","27262","35.945162","-80.022598","409","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27260THLLL1717E","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27260THLLL1717E","https://enviro.epa.gov/enviro/rsei.html?facid=27260THLLL1717E"
"B & H PANEL CO","230 W ACADEMY ST","ASHEBORO","RANDOLPH","NC","27203","35.70347","-79.81668","23","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27203BHPNL230WE","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27203BHPNL230WE","https://enviro.epa.gov/enviro/rsei.html?facid=27203BHPNL230WE"
"B B WALKER CO","414 E DIXIE DR","ASHEBORO","RANDOLPH","NC","27204","35.68859","-79.81189","17","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27203BBWLK414EA","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27203BBWLK414EA","https://enviro.epa.gov/enviro/rsei.html?facid=27203BBWLK414EA"
"BARNHARDT MANUFACTURING CO","1561 PROSPECT ST","HIGH POINT","GUILFORD","NC","27260","35.92254","-80.02375","9","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27260BRNHR1561P","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27260BRNHR1561P","https://enviro.epa.gov/enviro/rsei.html?facid=27260BRNHR1561P"
"BEAUTIMAR MANUFACTURING MARBLE INC","1221 HOME CT","RALEIGH","WAKE","NC","27603","35.69751","-78.67572","27","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27603BTMRM1221H","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27603BTMRM1221H","https://enviro.epa.gov/enviro/rsei.html?facid=27603BTMRM1221H"
"BERK-TEK LLC","100 TECHNOLOGY PARK LN","FUQUAY VARINA","WAKE","NC","27526","35.61851","-78.80765","50","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27526BRKTK100TE","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27526BRKTK100TE","https://enviro.epa.gov/enviro/rsei.html?facid=27526BRKTK100TE"
"BFI ORGANICS INC #1238-06 PIONEER SOUTHERN DIV","STATE RD 1369","STAR","MONTGOMERY","NC","27356","35.39784","-79.75264","1","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27356PNRSTSTATE","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27356PNRSTSTATE","https://enviro.epa.gov/enviro/rsei.html?facid=27356PNRSTSTATE"
"BIOGEN IDEC US LP","5000 DAVIS DR","RESEARCH TRIANGLE PARK","WAKE","NC","27709","35.860766","-78.870583","10","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27709BGNNC5000D","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27709BGNNC5000D","https://enviro.epa.gov/enviro/rsei.html?facid=27709BGNNC5000D"
"BIOGEN RTP","900 DAVIS DR","MORRISVILLE","DURHAM","NC","27560","35.86754","-78.87033","11","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2756WBGNRT9DAVI","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2756WBGNRT9DAVI","https://enviro.epa.gov/enviro/rsei.html?facid=2756WBGNRT9DAVI"
"BLACK & DECKER (US) INC","HWY 301 S","FAYETTEVILLE","CUMBERLAND","NC","28306","35.001328","-78.901196","73","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=28306BLCKDHWY30","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=28306BLCKDHWY30","https://enviro.epa.gov/enviro/rsei.html?facid=28306BLCKDHWY30"
"BLANCHARD TERMINAL CO - SELMA BUFFALO NC TERMINAL","3707 BUFFALO ROAD","SELMA","JOHNSTON","NC","27576","35.54906","-78.306319","93","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2757WBPPRD377BU","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2757WBPPRD377BU","https://enviro.epa.gov/enviro/rsei.html?facid=2757WBPPRD377BU"
"BOISE CASCADE WOOD PRODUCTS-MONCURE PLYWOOD","306 CORINTH RD","MONCURE","CHATHAM","NC","27559","35.61084","-79.04777","31","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27559WLLMTSTATE","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27559WLLMTSTATE","https://enviro.epa.gov/enviro/rsei.html?facid=27559WLLMTSTATE"
"BOLING CO","108 W 3RD ST","SILER CITY","CHATHAM","NC","27344","35.724731","-79.464723","12","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27344THBLN108WE","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27344THBLN108WE","https://enviro.epa.gov/enviro/rsei.html?facid=27344THBLN108WE"
"BONELESS HAMS INC","SUSAN TART ROAD","DUNN","HARNETT","NC","28334","35.308326","-78.637807","4","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=28334BNLSSSUSAN","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=28334BNLSSSUSAN","https://enviro.epa.gov/enviro/rsei.html?facid=28334BNLSSSUSAN"
"BRAINERD CHEMICAL CO LLC OF NORTH CAROLINA","1600 S WILSON AVENUES","DUNN","HARNETT","NC","28334","35.294444","-78.621111","103","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=28334MCPGN1600S","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=28334MCPGN1600S","https://enviro.epa.gov/enviro/rsei.html?facid=28334MCPGN1600S"
"BRASSCRAFT - THOMASVILLE","1024 RANDOLPH ST","THOMASVILLE","DAVIDSON","NC","27360","35.86641","-80.07204","87","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27360THMSM1024R","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27360THMSM1024R","https://enviro.epa.gov/enviro/rsei.html?facid=27360THMSM1024R"
"BRAXTON CULLER INC","1950 W GREEN DR","HIGH POINT","GUILFORD","NC","27261","35.93241","-80.0155","10","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27262BRXTN1950W","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27262BRXTN1950W","https://enviro.epa.gov/enviro/rsei.html?facid=27262BRXTN1950W"
"BRAYTON INTL COLLECTION INC","220 SWATHMORE AVE","HIGH POINT","GUILFORD","NC","272647288","35.91913","-79.98527","2","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27264BRYTN220SW","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27264BRYTN220SW","https://enviro.epa.gov/enviro/rsei.html?facid=27264BRYTN220SW"
"BRAYTON INTL COLLECTION INC","255 SWATHMORE AVE","HIGH POINT","GUILFORD","NC","27264","35.91914","-79.98747","5","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27264BRYTN255SW","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27264BRYTN255SW","https://enviro.epa.gov/enviro/rsei.html?facid=27264BRYTN255SW"
"BRAYTON INTL COLLECTION INC","265 SWATHMORE AVE","HIGH POINT","GUILFORD","NC","27264","35.91915","-79.98955","4","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27264BRYTN265SW","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27264BRYTN265SW","https://enviro.epa.gov/enviro/rsei.html?facid=27264BRYTN265SW"
"BRENNTAG MID-SOUTH","2000 E PETTIGREW ST","DURHAM","DURHAM","NC","27703","35.979401","-78.880293","471","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27702STHCH2000E","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27702STHCH2000E","https://enviro.epa.gov/enviro/rsei.html?facid=27702STHCH2000E"
"BRISTOL-MYERS SQUIBB CO","9707 CHAPEL HILL RD","MORRISVILLE","WAKE","NC","275600300","35.8077","-78.81359","23","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27560BRSTL9707C","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27560BRSTL9707C","https://enviro.epa.gov/enviro/rsei.html?facid=27560BRSTL9707C"
