OBJECTID,SCH_GUID,COUNTYCODE,COUNTY,DIST_CODE,DIST_NAME,SCHOOLCODE,SCHOOLTYPE,SCHOOL,SCHOOLNAME,X,Y,SOURCE
14,0e384464-5b4d-4aba-b785-b34007ae2e92,21,MERCER,5210,Trenton Public School District,308,ELEMENTARY SCHOOL,Jefferson Elementary School,Jefferson Elementary School,411012.022,512800.7469,PUBLIC
15,93f8dbb5-a843-4ae1-8f80-498cdceaa677,21,MERCER,5210,Trenton Public School District,307,GRADES 7-8,Arthur J. Holland Middle School,Holland Middle School,410507.2828,509648.8887,PUBLIC
16,f5a62297-4215-429b-81a7-0a10936c73eb,6,BURLINGTON,1911,Hainesport,10L,GRADES K-8,Harbor Baptist Academy,Harbor Baptist Academy,396128.5347,419035.2973,PRIVATE
17,8de07aa7-a3b5-4ef9-b8d0-059c9927a944,13,ESSEX,2730,Livingston Board Of Education School District,300,PRE-SCHOOL,Monmouth Court Campus,Monmouth Court Pre-School,540738.168,707938.583,PUBLIC
18,08ebfe16-7582-426c-a51f-977791190a0b,80,ATLANTIC,6060,Atlantic Community Charter School,942,CHARTER ELEMENTARY & KINDERGARTEN (K-6),Atlantic Community Charter School,Atlantic Community Charter School,503828.382,236173.271,CHARTER
19,c3535fb5-ba1e-4451-8ab5-1badccc8ca4e,80,BERGEN,6013,Bergen Arts and Science Charter School,900,MIDDLE SCHOOL (GRADES 5-8),Bergen Arts and Sciences Charter School,Bergen Arts And Sciences-Middle School,603130.624,743605.8142,
20,53fc587a-44dd-4481-8145-c4dd7fb6090b,80,PASSAIC,6230,Classical Academy Charter School of Clifton,915,GRADES K-12,Classical Academy Charter School of Clifton,Classical Academy Charter School ,590838.744,745026.6096,CHARTER
21,1c561291-d9ec-4be0-bfe8-673a5d1b7dff,80,UNION,6101,College Achieve Central Charter School,992,GRADES K-3,College Achieve Central Charter School,College Achieve Public Charter School-Central Campus,518693.7545,655575.8905,CHARTER
22,f71e88ad-339c-4a2f-b1b0-f94fe4c6574b,80,PASSAIC,6021,Community Charter School Of Paterson,905,ELEMENTARY (K-GRADE 4),Community Charter School of Paterson,Community Charter School Of Paterson,581239.0897,757129.8751,
23,460e868e-07c5-4856-9399-f18581535914,80,ESSEX,6410,East Orange Community Charter School,920,ELEMENTARY (K-GRADE 4),East Orange Community Charter School,East Orange Community Cs,569364.4946,706878.4228,CHARTER
24,6a039626-6ffb-42cc-86fb-33ee15be73d2,80,HUDSON,6103,Empowerment Academy Charter School,994,ELEMENTARY (K-GRADE 3),Empowerment Academy Charter School,Empowerment Academy Charter School,607000.3036,685912.6815,CHARTER
25,aafa101b-48fa-465d-a8da-3f2e11ada91c,80,BERGEN,6430,Englewood On The Palisades Charter School,930,ELEMENTARY (K-GRADE 5),Englewood on the Palisades Charter School,Englewood On The Palisades Charter School,637180.3689,752962.6265,CHARTER
26,257befc4-8949-4a32-ae98-19687ab8904b,80,PASSAIC,6079,John P Holland Charter School,964,GRADES K-8,John P. Holland Charter School,John P Holland Charter School,577484.7455,753920.0701,CHARTER
27,32c88fcd-0840-4eac-b26b-fceb176bf3d8,80,PASSAIC,6080,Passaic Arts And Science Charter School,966,HIGH SCHOOL (9-12),Passaic Arts and Science Charter School,Passaic Arts And Science Charter School-High School,596388.3999,738046.9953,
28,3936397e-59f3-4bcc-b5e4-d8dce2736923,80,PASSAIC,6096,Paterson Arts And Science Charter School,982,GRADES K-12,Paterson Arts And Science Charter School,Paterson Arts And Science Charter School,580600.4669,756402.1436,CHARTER
29,17dcf84b-96a9-4338-a565-d83682981bd2,80,PASSAIC,7503,Paterson Charter School for Science and Technology,970,ELEMENTARY (K-GRADE 6),Paterson Charter School for Science/Technology,Paterson Charter School For Science/Technology,587429.8066,751355.0034,
30,57c8dbb0-283d-4cfe-b91f-571ddda37518,80,SUSSEX,7850,Sussex County Technology Charter School,960,CHARTER TECHNICAL SCHOOL OR INSTITUTE,Sussex County Technology Charter School,Sussex County Technology Charter School,455117.4075,830318.7077,CHARTER
31,e1541385-572b-4ed2-9612-cb8993097ebe,80,BERGEN,7890,Teaneck Community Charter School,920,GRADES K-8,Teaneck Community Charter school,Teaneck Community Charter School,623686.6665,747304.3107,CHARTER
32,5035b010-9b63-45c1-8322-b597c55dbe0d,80,UNION,6033,The Barack Obama Green Charter High School District,902,CHARTER HIGH SCHOOL,The Barack Obama Green Charter High School,The Barack Obama Green Charter High School,513431.1623,650986.9492,CHARTER
33,53426a37-eb4e-4df0-a7b9-7cb8b53c2ded,80,MORRIS,8050,Unity Charter School,990,GRADES K-8,Unity Charter School,Unity Charter School,501273.1233,718428.756,CHARTER
34,e615c111-c6f5-4e78-92fa-a10af89acbea,80,CUMBERLAND,6100,Bridgeton Public Charter School,991,GRADES K-3,Bridgeton Public Charter School,Bridgeton Public Charter School,292423.6903,215673.9199,CHARTER
35,e2ed6e51-202f-48bb-8ff9-be5c0a2d7a15,80,ATLANTIC,7410,Chartertech High School For The Performing Arts,940,CHARTER HIGH SCHOOL,Chartertech High School for the Performing Arts,Chartertech High School for the Performing Arts,463938.737,180034.7163,CHARTER
36,95c63b29-fe4e-4ca7-bd17-76540805a70e,80,CUMBERLAND,6069,Millville Public Charter School,952,GRADES K-7,Millville Public Charter School,Millville Public Charter School,341735.7665,209679.3194,CHARTER
37,17ff308f-9e65-445b-88ce-86c15143a21b,80,CUMBERLAND,6028,Vineland Public Charter School,910,GRADES K-10,Vineland Public Charter School,Vineland Public Charter School,350215.6459,218876.6117,CHARTER
38,ce768bb8-46b0-4acc-a4bf-076fac0f10f8,80,CUMBERLAND,6089,Compass Academy Charter School,976,GRADES K-5,Compass Academy Charter School,Compass Academy Charter School,339153.6191,235162.3921,CHARTER
39,fd92f99c-cfab-4a86-9079-003d9297560b,80,CAMDEN,6240,Freedom Prep Charter School,900,GRADES K-11,Freedom Prep Charter School,Freedom Prep Charter School,321577.9361,399595.9701,CHARTER
40,df7a680a-bad3-48ba-bdec-4840fc1a3494,80,CAMDEN,6107,Camden'S Promise Charter School,998,GRADES K-4,Camden's Promise Charter School,Katz Dalsey Academy-Parkside Campus,324567.6371,401337.6021,
41,3943360f-1dd6-4077-9422-d5daeed26791,80,CAMDEN,6086,Hope Community Charter School,972,GRADES K-4,Hope Community Charter School,Hope Community Charter School,317622.2206,401872.8385,CHARTER
42,9076ff2c-2392-4d81-afbe-bc1ff417ed98,80,CAMDEN,7109,Leap Academy University Charter School,931,GRADES 4-6,Leap Academy University Charter School,Leap Academy University Stem Upper Elementary School,318487.8343,406197.052,
43,b8a31185-76ff-4277-854e-e28afa597c1d,7,CAMDEN,1802,"Mastery Schools of Camden, Inc.",112,ELEMENTARY (K-GRADE 2),"Mastery Schools of Camden, Inc.",Molina Lower Elementary,319933.3833,406779.5692,
44,5ce8829c-369f-4226-92d5-69a731f63422,80,CAMDEN,6107,Camden'S Promise Charter School,998,ELEMENTARY,Camden's Promise Charter School,Camden's Pride Charter Elementary School,327855.1404,409799.595,
45,67fdedcf-dfba-4379-a041-1638f7a42894,80,CAMDEN,6107,Camden'S Promise Charter School,998,CHARTER MIDDLE/HIGH SCHOOL,Camden's Promise Charter School,Camden's Promise Charter Middle  School,327925.8476,410122.8273,
46,764bd362-caad-4428-9dd8-a76c0a8387f7,80,BURLINGTON,6076,Benjamin Banneker Preparatory Charter School,961,ELEMENTARY SCHOOL,Benjamin Banneker Preparatory Charter School,Benjamin Banneker Preparatory Charter School,383114.5092,444374.847,CHARTER
47,2d909d13-326d-4c1b-bdd3-dcdd5f740974,80,BURLINGTON,6026,Riverbank Charter School Of Excellence,908,GRADES K-3,Riverbank Charter School of Excellence,Riverbank Charter School Of Excellence,412805.4288,467172.1824,CHARTER
48,2567994c-e9e8-47fa-b33a-17a9cb267a12,80,MONMOUTH,6010,Academy Charter High School,910,CHARTER HIGH SCHOOL,Academy Charter High School,Academy Charter High School,624102.7352,487646.8553,CHARTER
49,73b9c230-8eb2-4d7e-a93a-550ea5959cb0,80,MERCER,6183,Trenton Stem-To-Civics Charter School,914,CHARTER HIGH SCHOOL,Trenton Stem-to-Civics Charter School,Trenton Stem-To-Civics Charter School,414529.1954,516790.2645,CHARTER
50,f8c63f7b-ad74-43f5-b1d0-7c93232acee2,80,MERCER,6810,International Charter School of Trenton,940,GRADES K-4,International Charter School,International Charter School Of Trenton,422282.3951,499802.6971,CHARTER
51,8002d2df-fb4c-4c52-88c8-83e79d68c19d,80,MONMOUTH,6740,Hope Academy Charter School,950,GRADES K-7,Hope Academy Charter School,Hope Academy Charter School,629452.4598,504783.2544,CHARTER
52,beb36e8f-5d4e-4581-b0cd-3944fa57ebe5,80,MERCER,6017,Foundation Academy Charter School,932,GRADES K-8,Foundation Academy Charter School,Foundation Academy Charter School,414782.7995,506601.2757,
53,37546280-8ee6-4f7e-94a4-be197863a6bb,80,MERCER,7500,Pace Charter School Of Hamilton,900,Intermediate School (3 - 6),Pace Charter School of Hamilton,Pace Charter School Of Hamilton-Kindergarten Campus,427392.8288,504788.343,
54,a9d2f003-d1c6-4e4e-8666-168ac9c3685f,80,MERCER,6025,Paul Robeson Charter School For The Humanities,907,GRADES 4-6,Paul Robeson Charter School for the Humanities,Paul Robeson Charter School For The Humanities,422448.9338,511784.5318,CHARTER
55,6be53802-2923-4c59-aa57-a52a8b515c5b,80,MERCER,8140,The Village Charter School,990,ELEMENTARY,The Village Charter School,Village Charter School,406706.1234,512822.5454,CHARTER
56,6bf43ca1-1a9e-410a-a4bf-12a2882e0596,80,MONMOUTH,7720,Red Bank Charter School,915,PRE K-GRADE 8,Red Bank Charter School,Red Bank Charter School,611497.0377,552068.4469,CHARTER
57,ae7aa879-87b8-4ecc-a786-d6b4f58fd681,80,MERCER,7540,Princeton Charter School,930,GRADES K-8,Princeton Charter School,Princeton Charter School,448374.36,559554.3568,CHARTER
58,cd1bd3a9-1bdb-4331-be49-9bf8979b564d,80,MIDDLESEX,6041,Hatikvah International Academy Charter School,916,GRADES K-8,Hatikvah International Academy Charter School,Hatikvah International Charter School,514874.9547,572986.2148,CHARTER
59,4a7eca89-d69e-435b-94bd-6faeaa7cb321,80,SOMERSET,6081,Thomas Edison Energysmart Charter School,967,GRADES K-8,Thomas Edison EnergySmart Charter School,Thomas Edison Energy Smart Charter School,485996.9521,617489.0011,SOM_CH
60,2b7b60d6-072d-47fb-86a8-b45895a79fb0,80,MIDDLESEX,6635,Greater Brunswick Charter School,930,GRADES K-8,Greater Brunswick Charter School,Greater Brunswick Charter School,502636.3781,599799.6408,CHARTER
61,abf94e36-deff-4059-a48e-e36301c6229e,80,MIDDLESEX,6032,Academy For Urban Leadership Charter School,901,CHARTER HIGH SCHOOL,Academy for Urban Leadership Charter School,Academy For Urban Leadership Charter High School,554389.8524,614818.6971,CHARTER
62,3e96021a-502b-4e9b-86d2-7180182d9924,80,SOMERSET,6018,Central Jersey College Prep Charter School,900,GRADES 6-12,Central Jersey College Prep Charter School,Central Jersey College Prep Charter,473823.0525,612120.6257,SOM_CH
63,7e4a5185-343a-42e0-b3ac-beb08fac37ff,80,UNION,7600,The Queen City Academy Charter School District,960,GRADES K-8,The Queen City Academy Charter School,Queen City Academy Charter School,511625.2328,644875.8643,CHARTER
64,acfd77b6-1a07-4fa6-b60e-0adec68395af,80,UNION,8010,Union County TEAMS Charter School-High School/College LA,980,GRADES K-12,Union County TEAMS Charter School,Union County Teams Charter School,512712.3376,647848.9273,CHARTER
65,f9ff73b1-7131-47a4-b564-8a1277eb0a3d,80,HUDSON,6910,Jersey City Community Charter School,940,GRADES K-8,Jersey City Community Charter School,Jersey City Community Charter School,605499.1937,678849.1025,CHARTER
66,240a82a1-7f4a-4bed-a0d7-5ec1b6b51702,80,HUDSON,7830,Soaring Heights Charter School,980,GRADES K-8,Soaring Heights Charter School,Soaring Heights Charter School,602837.6692,679399.233,CHARTER
67,a95f2fdd-26cf-4ae1-84ee-12b83a3ab939,80,HUDSON,8060,University Academy Charter High School,990,CHARTER HIGH SCHOOL,University Academy Charter High School,University Academy Charter School,605232.4239,684631.7645,CHARTER
68,17b8be34-a3b0-40a0-8f66-56ab92fe7263,80,HUDSON,6064,Dr Lena Edwards Academic Charter School,946,K-GRADE 8,Dr Lena Edwards Academic Charter School,Dr. Lena Edwards Academic Charter School,610627.2979,685237.4641,CHARTER
69,2cfad891-6c36-4cc8-8334-d25fb1671486,80,ESSEX,6053,Great Oaks Legacy Charter School,917,MIDDLE SCHOOL (GRADES 5-8),Great Oaks Legacy Charter School,Legacy Middle School,571803.4156,689612.6994,CHARTER
70,496ef7b0-48ee-4598-82d5-fa604629ea4f,80,HUDSON,7115,The Learning Community Charter School,960,PRE K-GRADE 8,Learning Community Charter School,Learning Community Charter School,609796.7799,688509.8037,CHARTER
71,15b31989-252b-4b66-bec2-c9b697975d7c,80,ESSEX,6099,Link Community Charter School,986,GRADES 5-8,Link Community Charter School,Link Community Charter School,580754.5844,689034.2189,CHARTER
72,479c0eee-f451-4347-832e-b633a485a5a2,80,ESSEX,6022,Burch Charter School Of Excellence,990,GRADES K-5,Burch Charter School of Excellence,Burch Charter School Of Excellence,567733.5465,690883.1053,CHARTER
73,2e0da8e4-6b18-4ae1-86e1-bf203196d712,80,ESSEX,6665,Gray Charter School,930,GRADES K-8,The Gray Charter School,Gray Charter School,583820.8306,691302.2531,CHARTER
74,5d24a5a6-b31b-4dde-8ee9-9144d2d16537,80,ESSEX,6029,Newark Educators Community Charter School,911,PRE K4-GRADE 4,Newark Educators Community Charter School,Newark Educators' Community Charter School,582193.4598,691711.9419,CHARTER
75,c32ae088-70c2-4e77-9fc0-2acedf079274,80,ESSEX,6320,Discovery Charter School,920,GRADES 4-8,Discovery Charter School,Discovery Charter School,582265.8799,692435.7919,CHARTER
76,ee6b4206-cb76-4232-b74e-461a05b65fc6,4,BERGEN,148,Teaneck Twp,37B,,Torah Academy,Torah Academy,629738.9592,754861.6847,PRIVATE
77,a67f2a09-a719-430d-a02d-f50a995e09f1,4,BERGEN,1349,Teaneck Twp,00X,,Yeshivat He'Atid,Yeshivat He'Atid,629361.312,754856.2943,PRIVATE
78,db1da8bb-7651-482f-8b20-7b3ecbcc96ff,4,BERGEN,111,Paramus Boro,03B,,Sage Alliance - New Alliance Academy Paramus,"New Alliance Academy, The ",611429.0788,770850.7072,PRIVATE
79,e1184239-26bf-4cfe-a938-b2b17955ff71,4,BERGEN,1944,River Edge Boro,11T,PRESCHOOL,New Beginnings At Grace Lutheran,New Beginnings At Grace Lutheran,619914.743,768683.8018,PRIVATE
80,4b843559-12ad-4a3c-8ee8-6c02a13c341c,4,BERGEN,133,Ridgewood Village,22B,PRESCHOOL,Montessori Learning Center,Montessori Learning Center ,598721.9202,782490.4795,PRIVATE
81,54298d49-076b-4048-9524-c48241fbafae,28,MORRIS,1771,Morris School District,04K,,Fusion Academy,Fusion Academy,499035.8594,713505.2671,PRIVATE
82,fc0e245f-4c0a-49a7-a3d8-17048b67a929,28,MORRIS,1712,Morris School District,02K,PreK- GRADE 8,"Red Oaks Middle School, The","Red Oaks Middle School, The",496968.4255,721736.353,PRIVATE
83,d595cf72-e18d-47a0-bd1b-3019976a10f6,28,MORRIS,1795,Hanover Twp,05Q,,Winston Preparatory School,Winston Preparatory School,511708.4587,725364.9314,PRIVATE
84,8ca8c5be-595a-41d3-b50b-0b3994c6009a,28,MORRIS,1728,Mount Olive Twp,02A,,Mt. Olive Child Care And Learning Center,Mt. Olive Child Care And Learning Center,423094.8125,734386.6863,PRIVATE
85,306f3b80-8a1a-4085-a6fd-913e0b726c5e,36,SOMERSET,1812,Bedminster Twp,06K,,"Willow School, The","Willow School, The",441875.7956,687146.0528,PRIVATE
86,65a6160f-62ce-4ec6-ae81-fed6fcbeb00a,20,HUNTERDON,503,Flemington-Raritan Reg,64E,,HOPE CHRISTIAN ACADEMY,Our Hope Christian Academy ,393664.0632,586750.3146,PRIVATE
87,089c70a8-1aa1-4925-b52a-1e3e7f71beca,20,HUNTERDON,497,Clinton Twp,59E,,Acorn Montessori School,Acorn Montessori School,388495.7586,644008.6056,PRIVATE
88,91f8171f-8a86-4217-a594-fdd6fffa0700,20,HUNTERDON,1299,Frenchtown Boro,01C,,Secret Garden Montessori,Secret Garden Montessori,335749.7926,620792.7993,PRIVATE
89,a0caf01d-1f3a-4d95-91b6-18f989c99a86,24,MIDDLESEX,1753,Cranbury Twp,03P,,Cranbury Presbyterian Nursery School,Cranbury Presbyterian Nursery School,486902.154,536978.3879,PRIVATE
90,3ed1740c-3f61-4184-a1ed-2dada6cc8dd6,22,MERCER,1327,East Windsor Regional,00C,,Scicore Academy,Scicore Academy,486992.5072,523354.8265,PRIVATE
91,5240aaaf-a6d1-4fd9-9a23-26452655f693,6,BURLINGTON,208,Mount Laurel Twp,92B,,Crème De Le Crème,Creme De Le Creme,378310.737,410282.3742,PRIVATE
92,d4ccc13d-6224-41f2-b474-f3d338c134ae,6,BURLINGTON,1810,Mount Laurel Twp,06H,PRESCHOOL,Montessori Art Academy,Montessori Art Academy,377663.0788,399573.517,PRIVATE
93,6ddf95a1-3d99-415a-a073-25fe60b4ec67,6,BURLINGTON,241,Mount Laurel Twp,22C,,"Schoolhouse Nursery School And Kindergarten, The","Schoolhouse Nursery Schoolaand Kindergarten, The",376302.9346,395964.6903,PRIVATE
94,8ea20f85-09bd-4782-a718-4ebc4191e1f0,8,CAMDEN,1755,Cherry Hill Twp,03R,,Cherry Hill Montessori,Cherry Hill Montessori,359050.9405,391777.6176,PRIVATE
95,ced68c2a-2812-47bb-af04-712122e32f80,8,CAMDEN,244,Gloucester Twp,25C,,Cherrywood Academy And Private Preschool,Cherrywood Academy And Private Preschool,342584.4302,353400.5155,PRIVATE
96,2ca7fe75-a3fc-43b5-a83c-ead2478dcbcf,8,CAMDEN,1336,Cherry Hill Twp,00K,,Discovery Corner Childcare And Enrichment Center,Discovery Corner Childcare And Enrichment Center,345158.1396,406223.779,PRIVATE
97,31cf9cc8-871c-46af-b2d7-569a3f700963,6,BURLINGTON,1814,Moorestown,06M,"DAY CARE, PRESCHOOL",Montessori Seeds Of Education,Montessori Seeds Of Education,366744.8507,416563.8328,PRIVATE
98,b3510995-6c69-4589-b79a-5a679dbf47ce,28,MORRIS,833,Boonton Town,66H,,Sage Alliance - Boonton,Sage Day School,515294.8416,755803.6894,PRIVATE
99,be9a3e67-2c5f-4ea4-a308-b410df96e93d,28,MORRIS,848,Denville Twp,80H,,Morris Catholic High School,Morris Catholic High School,494785.7849,754885.4875,PRIVATE
100,e24a79bb-c543-4eab-9504-62dff6d0a27e,28,MORRIS,847,Denville Twp,79H,,"Goddard School Of Denville, The",The Goddard School,484889.138,742538.9279,PRIVATE
101,23fbbfa1-1479-4fe8-96e1-276207f57362,28,MORRIS,854,Florham Park Boro,85H,,Magic Kingdom Day Nursery And Kindergarten,Magic Kingdom Day Nursery,524131.8404,701025.2602,PRIVATE
102,cf860d14-3bc8-4eeb-90ce-5eb6f5423837,28,MORRIS,862,Kinnelon Boro,92H,,Apple Montessori School Of Kinnelon,Apple Montessori School,528638.7526,790301.9199,PRIVATE
103,b0f7a360-45b8-4886-8b49-e9627df8e58b,28,MORRIS,901,Long Hill Twp,29I,,Long Hill Montessori School Llc,Young World Montessori Sch Inc,493156.9833,671080.1666,PRIVATE
104,feecdc4a-c27d-43fe-89ac-a98e76e54276,28,MORRIS,1762,Madison Boro,04A,"PRESCHOOL, CHILD CARE",Acorn Academy,Acorn Academy of Madison,514040.7086,702355.9302,PRIVATE
105,84c04f66-4e2a-4c0c-be94-ba8e1a496072,28,MORRIS,871,Montville Twp,01I,,Apple Montessori School Of Towaco,Apple Montessori School,535105.1399,761597.6476,PRIVATE
106,620951d2-cf9d-42ae-a3f9-7826288940b7,28,MORRIS,873,Montville Twp,03I,,Trinity Christian School,Trinity Christian School,529298.0334,749710.8689,PRIVATE
107,28664ed8-576f-4891-8858-205323dbaa12,28,MORRIS,874,Morris School District,04I,"HS, ALL GIRLS",Academy Of Saint Elizabeth,Academy Of Saint Elizabeth,509110.4623,708749.0781,PRIVATE
108,503d4afb-9fe4-4d0a-ac15-01a05dd7e235,28,MORRIS,875,Morris School District,05I,,Delbarton School,Delbarton School,483482.9925,712060.1709,PRIVATE
109,3247f497-033f-4b3b-99d2-e50b8ea125ef,28,MORRIS,889,Mountain Lakes Boro,19I,,Academy For Children Inc,Academy For Children Inc,508503.222,750404.6028,PRIVATE
110,20a7f16d-aa27-4b96-a54a-8f43a3d4a7ef,28,MORRIS,888,Mountain Lakes Boro,18I,ELEMENTARY/ MIDDLE SCHOOL,Craig School,Craig School,507518.7177,749595.5204,PRIVATE
111,1de23d14-173a-4884-b7e0-7938d6ebe481,28,MORRIS,863,Montville Twp,93H,HIGH SCHOOL,"Craig School, The",Craig High School,531034.1612,756811.5808,PRIVATE
112,dba44d3e-55cc-4cd4-b29d-209cb233e416,28,MORRIS,1941,Pequannock Twp,11Q,GRADES 1-8,Kolbe Immaculata School,Kolbe Immaculate Prep School,549248.9066,770427.3045,PRIVATE
113,29237b9d-5da1-4f71-9b82-be658a0b82c1,28,MORRIS,905,Randolph Twp,33I,,Apple Montessori School Of Randolph,Apple Montessori School,475330.0144,734082.1019,PRIVATE
114,218dcd09-6aec-4f95-98d7-83aaf44cb172,28,MORRIS,907,Randolph Twp,35I,,Gottesman Rtw Academy,Hebrew Academy Of Morris County,465512.6066,736032.2155,PRIVATE
115,ec17c474-284d-431a-b272-d82e52d3aa4a,30,OCEAN,946,Lakewood Twp,69I,,Bais Kaila Torah Prep Hs,Bais Kaila Torah Prep High School,573892.3094,451227.4475,PRIVATE
116,860d08f3-c1ef-4411-81e0-c06c3bc24501,30,OCEAN,994,Lakewood Twp,13J,,Yeshiva Gedola Of Woodlake Village,Yeshiva Gedola Of Woodlake Village,584496.6878,461416.3343,PRIVATE
117,a9f28027-1e55-4a8b-b4a9-e94d264eb730,80,ESSEX,6053,Great Oaks Legacy Charter School,917,DOWNTOWN ELEMENTARY SCHOOL,Great Oaks Legacy Charter School,Great Oaks Legacy Charter School,582394.4505,691868.5643,CHARTER
118,391861b7-0c7b-4a26-86e4-8e67ce7a0e00,80,ESSEX,6057,Peoples Preparatory Charter School,938,CHARTER HIGH SCHOOL,Peoples Preparatory Charter School,Peoples Preparatory Charter School,576610.2571,692702.2441,CHARTER
119,4ba2b084-fdb6-4026-bd41-65c041811902,80,ESSEX,7210,Marion P. Thomas Charter School,940,GRADES K-5,Marion P. Thomas Charter School,Marion P. Thomas Charter School-Elementary,575465.5244,693096.9214,CHARTER
120,a8f2d8eb-f0c3-4a58-83fc-87a99f635ba9,80,ESSEX,7290,New Horizons Community Charter School,957,ELEMENTARY,New Horizons Community Charter School,New Horizons Community Charter School,578220.9208,693201.2316,CHARTER
121,77a2998d-4248-4fbc-9cd0-ac5f052a729d,80,HUDSON,6030,The Ethical Community Charter School School Distirct,912,GRADES K-8,The Ethical Community Charter School,The Ethical Community Charter School,610623.9718,693336.8091,CHARTER
122,c9ee1f18-a894-4394-aa7b-f7e635e69b6d,80,HUDSON,6915,Jersey City Golden Door Charter School,950,CHARTER HIGH SCHOOL,Jersey City Golden Door Charter School,Jersey City Golden Door Charter School,613374.6379,693753.6426,CHARTER
123,824a6096-ce5a-42e7-ba8c-8ff65f070593,80,HUDSON,6036,Hoboken Dual Language Charter School,921,K-GRADE 5,Hoboken Dual Language Charter School,Hoboken Dual Language Charter School (Hola)-Elementary School,620157.1404,694539.0534,CHARTER
124,8277c749-d023-47b2-aee9-e814b3087eaf,80,HUDSON,6420,Elysian Charter School,925,GRADES K-12,Elysian Charter School of Hoboken,Elysian Charter School Of Hoboken,622901.4916,700179.1445,CHARTER
125,410f8bfb-f3e6-4706-963c-a88b6b6f56df,80,ESSEX,7320,North Star Academy Charter School,960,MIDDLE SCHOOL,North Star Academy Charter School,North Star Academy Cs Of Newark-Downtown Middle School,583595.1079,695483.9219,
126,7136fcdb-d222-4e82-ae97-b65417f4134a,80,HUDSON,6720,Hoboken Charter School,930,GRADES K-12,Hoboken Charter School,Hoboken Charter School-Lower And Middle School,622814.3126,696738.8482,
127,caed543a-b741-4742-93a9-7b80bf88a2ed,80,ESSEX,6094,Phillip's Academy Charter School,968,GRADES K-8,Philip's Academy Charter School,Philip'S Academy Charter School,579013.5006,696968.9508,CHARTER
